id,countryName,continent,population,IMF_GDP,UN_GDP,IMF_GDP_per_capita,UN_GDP_per_capita
768,Togo,Africa,9053800.0,9.539E9,4.449262345E9,1053.59,491424.8542048643
40,Austria,Europe,8958960.0,5.18808E11,3.908E11,57909.4,4.362113459597989E7
756,Switzerland,Europe,8796670.0,8.88199E11,6.68851E11,100969.92,7.603456762615854E7
694,Sierra Leone,Africa,8791090.0,4.266E9,3.674756785E9,485.26,418009.2326435061
418,Laos,Asia,7633780.0,1.7996E10,1.580570709E10,2357.42,2070495.4937134683
344,Hong Kong,Asia,7491610.0,3.91338E11,3.20912E11,52236.84,4.2836186080161676E7
688,Serbia,Europe,7149080.0,7.2587E10,3.8299871897E10,10153.34,5357314.772949806
558,Nicaragua,North America,7046310.0,1.6776E10,1.3230214875E10,2380.82,1877608.9719299888
434,Libya,Africa,6888390.0,4.5195E10,4.2959534586E10,6561.04,6236513.116417624
600,Paraguay,South America,6861520.0,4.4671E10,2.7165101909E10,6510.36,3959050.1680385685
417,Kyrgyzstan,Asia,6735350.0,9.511E9,6.55129114E9,1412.1,972672.7104010927
100,Bulgaria,Europe,6687720.0,9.7798E10,5.3239643485E10,14623.53,7960806.296465761
795,Turkmenistan,Asia,6516100.0,8.4893E10,3.6179885714E10,13028.19,5552383.437025215
222,El Salvador,North America,6364940.0,3.2223E10,2.6797469656E10,5062.57,4210168.4628606085
178,Republic of the Congo,Africa,6106870.0,1.5641E10,7.778081883E9,2561.21,1273660.9561035358
702,Singapore,Asia,6014720.0,4.50999E11,2.96946E11,74982.51,4.9369879229623325E7
208,Denmark,Europe,5910910.0,4.19266E11,3.069E11,70930.84,5.192093941541996E7
703,Slovakia,Europe,5795200.0,1.31046E11,8.9768598023E10,22612.86,1.5490163932737438E7
140,Central African Republic,Africa,5742320.0,2.877E9,1.81038874E9,501.02,315271.3084606919
246,Finland,Europe,5545480.0,3.14502E11,2.38503E11,56713.27,4.300854028866753E7
578,Norway,Europe,5474360.0,5.49733E11,3.71069E11,100419.59,6.778308331932865E7
430,Liberia,Africa,5418380.0,4.064E9,2.756817825E9,750.04,508790.04887069564
275,Palestine,Asia,5371230.0,0.0,1.33971E10,2494.23,2494233.164470708
422,Lebanon,Asia,5353930.0,0.0,5.0457653265E10,9424.41,9424414.078069754
554,New Zealand,Oceania,5228100.0,2.7672E11,1.87517E11,52929.36,3.5867141026376694E7
188,Costa Rica,North America,5212170.0,6.818E10,5.7435510668E10,13080.92,1.1019500643302118E7
372,Ireland,Europe,5056940.0,5.62134E11,3.04819E11,111161.01,6.027736140828248E7
478,Mauritania,Africa,4862990.0,9.705E9,4.66711932E9,1995.69,959722.1709277626
512,Oman,Asia,4644380.0,1.1025E11,6.3170959402E10,23738.35,1.3601591472274017E7
591,Panama,North America,4468090.0,7.6549E10,5.51878E10,17132.39,1.2351541710216222E7
414,Kuwait,Asia,4310110.0,1.80665E11,1.10346E11,41916.58,2.5601666778806113E7
191,Croatia,Europe,4008620.0,7.5827E10,5.1231002611E10,18916.0,1.2780209301704826E7
232,Eritrea,Africa,3748900.0,2.777E9,5.413804303E9,740.75,1444104.7515271145
268,Georgia,Europe,3728280.0,2.33E10,1.4332728707E10,6249.53,3844327.332442842
496,Mongolia,Asia,3447160.0,2.1047E10,1.1160356685E10,6105.61,3237551.110189257
498,Moldova,Europe,3435930.0,1.3752E10,6.772647958E9,4002.41,1971125.1271126014
858,Uruguay,South America,3423110.0,6.6988E10,5.2419718459E10,19569.35,1.5313477644305909E7
630,Puerto Rico,North America,3260310.0,1.21068E11,1.05035E11,37133.85,3.2216261643831417E7
70,Bosnia and Herzegovina,Europe,3210850.0,2.4971E10,1.6909904149E10,7777.08,5266488.359468677
8,Albania,Europe,2832440.0,1.9062E10,1.1863866791E10,6729.89,4188567.733473613
388,Jamaica,North America,2825540.0,1.6208E10,1.4056901075E10,5736.24,4974943.223242283
51,Armenia,Europe,2777970.0,1.5842E10,1.0572299425E10,5702.73,3805764.4341011606
270,Gambia,Africa,2773170.0,2.341E9,9.85831536E8,844.16,355489.0381765272
440,Lithuania,Europe,2718350.0,7.5992E10,4.2773029835E10,27955.17,1.5734923698199276E7
634,Qatar,Asia,2716390.0,2.28356E11,1.52452E11,84065.95,5.61230162090127E7
72,Botswana,Africa,2675350.0,1.9821E10,1.5566057294E10,7408.74,5818325.562636664
